algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
softmax,0,2,5,50,59,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
pac_successive_elimination,0,2,5,50,59,4,high_taxation,1.5677566308093622,-65.81708149942209,196.02884547705412,195.42318102032664,0,,0.08527816808790509,197.35778671562124
epsilon_greedy,0,2,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
ucb1,0,2,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
softmax,0,2,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
pac_successive_elimination,0,2,6,60,69,4,high_taxation,1.6587213250846133,-24.67915656505823,202.0080577979606,198.0062227450955,0,,0.03572335616369926,206.67399071262756
epsilon_greedy,0,2,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
ucb1,0,2,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
softmax,0,2,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
pac_successive_elimination,0,2,7,70,79,4,high_taxation,1.7753078932624247,-7.285706627595067,213.9112319868024,207.88361442430215,0,,0.014964652785259661,220.3148506356031
epsilon_greedy,0,2,8,80,89,7,weak_capacity_control,-99.37366293301451,-15.944921997493587,77.07383867795733,74.58162591951854,1,0,0.005508837210703079,79.64967390423702
ucb1,0,2,8,80,89,7,weak_capacity_control,-99.37366293301451,-15.944921997493587,77.07383867795733,74.58162591951854,1,0,0.005508837210703079,79.64967390423702
softmax,0,2,8,80,89,7,weak_capacity_control,-99.37366293301451,-15.944921997493587,77.07383867795733,74.58162591951854,1,0,0.005508837210703079,79.64967390423702
pac_successive_elimination,0,2,8,80,89,4,high_taxation,1.907742558249175,-1.3617897196225237,229.09252175625568,221.84072939326833,0,,0.0062687512325882745,236.60503615716573
epsilon_greedy,0,2,9,90,99,7,weak_capacity_control,-99.31451300257245,-6.454737461944177,83.03300818673988,80.24635914358844,1,0,0.002307673325286836,85.89181217855817
ucb1,0,2,9,90,99,7,weak_capacity_control,-99.31451300257245,-6.454737461944177,83.03300818673988,80.24635914358844,1,0,0.002307673325286836,85.89181217855817
softmax,0,2,9,90,99,7,weak_capacity_control,-99.31451300257245,-6.454737461944177,83.03300818673988,80.24635914358844,1,0,0.002307673325286836,85.89181217855817
pac_successive_elimination,0,2,9,90,99,4,high_taxation,2.0544502885825997,0.25373994447348436,246.50358583657513,238.34941388412904,0,,0.0027145929954563446,254.86987137034325
epsilon_greedy,0,2,10,100,109,7,weak_capacity_control,-99.25592347181272,-2.599842803163998,89.60116451885206,86.54878388327663,1,0,0.0009666933279302226,92.72330322384406
ucb1,0,2,10,100,109,11,strong_marine_reserve,-99.25634310051265,-3.168958047062051,89.619102904132,86.55274808815312,1,0,0.0009666933279302226,92.7529159598721
softmax,0,2,10,100,109,5,hard_capacity_control,-99.25592347181272,-2.599842803163998,89.60116451885206,86.54878388327663,1,0,0.0009666933279302226,92.72330322384406
pac_successive_elimination,0,2,10,100,109,4,high_taxation,2.2148261741662387,0.5275671545474201,265.71583284140297,256.7919976035136,0,,0.0012909343743414737,274.83783924372165
epsilon_greedy,0,2,11,110,119,5,hard_capacity_control,-99.19475604112942,-1.041541357824805,96.75426002740817,93.43848090116123,1,0,0.0004049515934620661,100.14165942958724
ucb1,0,2,11,110,119,7,weak_capacity_control,-99.19449839108118,-1.041335817588956,96.78515336836747,93.46832089668426,1,0,0.0004049515934620661,100.17362864350152
softmax,0,2,11,110,119,11,strong_marine_reserve,-99.19494587619546,-1.2989914714749031,96.76237383312076,93.44027360113263,1,0,0.0004049515934620661,100.1550548378746
pac_successive_elimination,0,2,11,110,119,4,high_taxation,2.388758205485072,0.4840233778905796,286.59290185286176,276.9253775931026,0,,0.0006796465213188615,296.46081144311785
epsilon_greedy,1,0,0,0,9,3,moderate_taxation,10.118290610614807,2917.3699619718477,864.1104778371554,739.8811269985001,0,,1.4853708961653926,739.8811269985001
ucb1,1,0,0,0,9,3,moderate_taxation,10.118290610614807,2917.3699619718477,864.1104778371554,739.8811269985001,0,,1.4853708961653926,739.8811269985001
softmax,1,0,0,0,9,3,moderate_taxation,10.118290610614807,2917.3699619718477,864.1104778371554,739.8811269985001,0,,1.4853708961653926,739.8811269985001
pac_successive_elimination,1,0,0,0,9,1,baseline_laissez_faire,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
epsilon_greedy,1,0,1,10,19,10,moderate_marine_reserve,7.571525697173755,2877.136216699609,563.3267376568974,414.6558837755958,0,,1.9191565756293816,414.6558837755958
ucb1,1,0,1,10,19,10,moderate_marine_reserve,7.571525697173755,2877.136216699609,563.3267376568974,414.6558837755958,0,,1.9191565756293816,414.6558837755958
softmax,1,0,1,10,19,10,moderate_marine_reserve,7.571525697173755,2877.136216699609,563.3267376568974,414.6558837755958,0,,1.9191565756293816,414.6558837755958
pac_successive_elimination,1,0,1,10,19,3,moderate_taxation,7.306302087564786,3684.756760534129,434.58543924367876,251.25320581226075,0,,2.090642867383461,251.25320581226075
epsilon_greedy,1,0,2,20,29,1,baseline_laissez_faire,3.023477199435302,874.529738819089,257.87369527394566,175.36357700207208,0,,1.1757182010732006,175.36357700207208
ucb1,1,0,2,20,29,1,baseline_laissez_faire,3.023477199435302,874.529738819089,257.87369527394566,175.36357700207208,0,,1.1757182010732006,175.36357700207208
softmax,1,0,2,20,29,1,baseline_laissez_faire,3.023477199435302,874.529738819089,257.87369527394566,175.36357700207208,0,,1.1757182010732006,175.36357700207208
pac_successive_elimination,1,0,2,20,29,4,high_taxation,0.5183692522472306,-842.2073758300155,163.26919536926954,123.70648739551876,0,,0.8815022449630269,123.70648739551876
epsilon_greedy,1,0,3,30,39,7,weak_capacity_control,0.38495814892463837,-788.3654829551854,140.79883582557886,123.59733742036528,0,,0.4925129254862432,123.59733742036528
ucb1,1,0,3,30,39,7,weak_capacity_control,0.38495814892463837,-788.3654829551854,140.79883582557886,123.59733742036528,0,,0.4925129254862432,123.59733742036528
softmax,1,0,3,30,39,7,weak_capacity_control,0.38495814892463837,-788.3654829551854,140.79883582557886,123.59733742036528,0,,0.4925129254862432,123.59733742036528
pac_successive_elimination,1,0,3,30,39,5,hard_capacity_control,-99.96205765785585,-849.0843091641246,106.4431981569922,97.78007494828263,1,0,0.36926471759400875,97.78007494828263
epsilon_greedy,1,0,4,40,49,4,high_taxation,-89.48452535078525,-449.2236748939865,115.76379889304857,112.19047291355115,1,1,0.20631557931960204,112.19047291355115
ucb1,1,0,4,40,49,4,high_taxation,-89.48452535078525,-449.2236748939865,115.76379889304857,112.19047291355115,1,1,0.20631557931960204,112.19047291355115
